Address,Total BIO Sold,Total WETH Received,USD Value,Transaction Count,Average Sale Size
0x98C3d3183C4b8A650614ad179A1a98be0a8d6B8E,1876126.378433,45.351579,154195.37,56,33502.256758
0xfBd4cdB413E45a52E2C8312f670e9cE67E794C37,1372570.808257,33.727204,114672.49,79,17374.314029
0xfbEedCFe378866DaB6abbaFd8B2986F5C1768737,621257.090165,15.553599,52882.24,38,16348.870794
0x6747BcaF9bD5a5F0758Cbe08903490E45DdfACB5,168086.713239,4.114724,13990.06,3,56028.904413
0x5141B82f5fFDa4c6fE1E372978F1C5427640a190,161952.000000,3.876067,13178.63,3,53984.000000
0x66a9893cC07D91D95644AEDD05D03f95e1dBA8Af,154257.572958,3.689480,12544.23,4,38564.393240
0x6E2c0F7C995E1e75b925512B1859eB3E9F9C11C0,104566.518503,2.432175,8269.39,1,104566.518503
0x2905d7e4D048d29954F81b02171DD313F457a4a4,100000.000000,2.303509,7831.93,1,100000.000000
0x3708F5c9533557B1633c7a255Ed385348488AeaE,78854.946217,1.953565,6642.12,6,13142.491036
0x111111125421cA6dc452d289314280a0f8842A65,64232.117075,1.588340,5400.36,2,32116.058538
0x00000000A991C429eE2Ec6df19d40fe0c80088B8,64614.165890,1.518351,5162.39,1,64614.165890
0x8331f9ACcE69b02C281F40a00706f758665ccE77,39924.077862,0.958025,3257.28,1,39924.077862
0xEff6cb8b614999d130E537751Ee99724D01aA167,29133.034276,0.716811,2437.16,2,14566.517138
0x76600115C5Cbe56d82bDe2Af8CAfb3801AEE5EFe,23499.900000,0.543205,1846.90,1,23499.900000
0xE592427A0AEce92De3Edee1F18E0157C05861564,13250.971411,0.328286,1116.17,1,13250.971411
0xDf31A70a21A1931e02033dBBa7DEaCe6c45cfd0f,11174.394636,0.266978,907.73,2,5587.197318
0x2E1Dee213BA8d7af0934C49a23187BabEACa8764,8854.292598,0.207379,705.09,3,2951.430866
0x0B570b66cF3b5eAb1FD10c89230cad58aA2FCb59,2093.093978,0.053105,180.56,1,2093.093978
0x8189AFcC5B73Dc90600FeE92e5267Aff1D192884,2063.000000,0.047708,162.21,1,2063.000000
0x7C81247aE0A35B03e3f4A704DCD6b101dcA53Abd,616.282951,0.014804,50.33,3,205.427650